Ampere,Leder,Fasekonfigurasjon,Beskrivelse,Pris_USD
630A,AL,"4W: 100%N, L3, L2, L1","XAP-B 630A, 4W - L horizontal elbow",$98.56 
630A,AL,"4W: 100%N, L3, L2, L1","XAP-B 630A, 4W - L vertical elbow",$115.50 
630A,AL,"4W: 100%N, L3, L2, L1","XAP-B 630A, 4W - L horizontal elbow, special angle",$108.42 
630A,AL,"4W: 100%N, L3, L2, L1","XAP-B 630A, 4W - L veritcal elbow, special angle",$127.05 
630A,AL,"4W: 100%N, L3, L2, L1","XAP-B 630A, 4W - Z horizontal offset", $-   
630A,AL,"4W: 100%N, L3, L2, L1","XAP-B 630A, 4W - Z vertical offset", $-   
630A,AL,"4W: 100%N, L3, L2, L1","XAP-B 630A, 4W - Tee horizontal offset",$162.47 
630A,AL,"4W: 100%N, L3, L2, L1","XAP-B 630A, 4W - Tee vertical offset",$162.47 
630A,AL,"4W: 100%N, L3, L2, L1","XAP-B 630A, 4W - Switchboard/panel flange end",$104.34 
630A,AL,"4W: 100%N, L3, L2, L1","XAP-B 630A, 4W - Transformer flange end", $-   
630A,AL,"4W: 100%N, L3, L2, L1","XAP-B 630A, 4W - Expansion Joint",$70.84 
630A,AL,"4W: 100%N, L3, L2, L1","XAP-B 630A, 4W - End cap",$16.94 
630A,AL,"4W: 100%N, L3, L2, L1","XAP-B 630A, 4W - End  tap box - EMPTY", $-   
630A,AL,"4W: 100%N, L3, L2, L1","XAP-B 630A, 4W - End  tap box - with 630A MCCB, 3P, 50kA", $-   
630A,AL,"4W: 100%N, L3, L2, L1","XAP-B 630A, 4W - End  tap box - with 630A MCCB, 4P, 50kA", $-   
630A,AL,"4W: 100%N, L3, L2, L1","XAP-B 630A, 4W - Outlet for tap-off boxes",$15.40 
630A,AL,"4W: 100%N, L3, L2, L1","XAP-B 630A, 4W - Flexible set",$149.38 
630A,AL,"4W: 100%N, L3, L2, L1","XAP-B 630A, 4W - Joint",$29.26 
,,,,
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - Straight length, 1 meter",$89.32 
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - Straight length, 3 meters max.",$267.96 
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - L horizontal elbow",$103.80 
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - L vertical elbow",$121.66 
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - L horizontal elbow, special angle",$114.18 
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - L veritcal elbow, special angle",$133.83 
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - Z horizontal offset", $-   
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - Z vertical offset", $-   
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - Tee horizontal offset",$170.94 
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - Tee vertical offset",$170.94 
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - Switchboard/panel flange end",$111.34 
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - Transformer flange end", $-   
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - Expansion Joint",$72.38 
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - End cap",$18.48 
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - End  tap box - EMPTY", $-   
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - End  tap box - with 630A MCCB, 3P, 50kA", $-   
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - End  tap box - with 630A MCCB, 4P, 50kA", $-   
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - Outlet for tap-off boxes",$15.40 
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - Flexible set",$166.32 
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - Joint",$30.80 
,,,,
800A,AL,"4W: 100%N, L3, L2, L1","XAP-B 800A, 4W - Straight length, 1 meter",$93.94 
800A,AL,"4W: 100%N, L3, L2, L1","XAP-B 800A, 4W - Straight length, 3 meters max.",$281.82 
800A,AL,"4W: 100%N, L3, L2, L1","XAP-B 800A, 4W - L horizontal elbow",$107.49 
800A,AL,"4W: 100%N, L3, L2, L1","XAP-B 800A, 4W - L vertical elbow",$126.28 
800A,AL,"4W: 100%N, L3, L2, L1","XAP-B 800A, 4W - L horizontal elbow, special angle",$118.24 
800A,AL,"4W: 100%N, L3, L2, L1","XAP-B 800A, 4W - L veritcal elbow, special angle",$138.91 
800A,AL,"4W: 100%N, L3, L2, L1","XAP-B 800A, 4W - Z horizontal offset", $-   
800A,AL,"4W: 100%N, L3, L2, L1","XAP-B 800A, 4W - Z vertical offset", $-   
800A,AL,"4W: 100%N, L3, L2, L1","XAP-B 800A, 4W - Tee horizontal offset",$180.95 
800A,AL,"4W: 100%N, L3, L2, L1","XAP-B 800A, 4W - Tee vertical offset",$180.95 
800A,AL,"4W: 100%N, L3, L2, L1","XAP-B 800A, 4W - Switchboard/panel flange end",$115.27 
800A,AL,"4W: 100%N, L3, L2, L1","XAP-B 800A, 4W - Transformer flange end", $-   
800A,AL,"4W: 100%N, L3, L2, L1","XAP-B 800A, 4W - Expansion Joint",$72.38 
800A,AL,"4W: 100%N, L3, L2, L1","XAP-B 800A, 4W - End cap",$18.48 
800A,AL,"4W: 100%N, L3, L2, L1","XAP-B 800A, 4W - End  tap box - EMPTY", $-   
800A,AL,"4W: 100%N, L3, L2, L1","XAP-B 800A, 4W - End  tap box - with 800A MCCB, 3P, 50kA", $-   
800A,AL,"4W: 100%N, L3, L2, L1","XAP-B 800A, 4W - End  tap box - with 800A MCCB, 4P, 50kA", $-   
800A,AL,"4W: 100%N, L3, L2, L1","XAP-B 800A, 4W - Outlet for tap-off boxes",$15.40 
800A,AL,"4W: 100%N, L3, L2, L1","XAP-B 800A, 4W - Flexible set",$161.70 
800A,AL,"4W: 100%N, L3, L2, L1","XAP-B 800A, 4W - Joint",$32.34 
,,,,
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - Straight length, 1 meter",$100.10 
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - Straight length, 3 meters max.",$300.30 
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - L horizontal elbow",$113.96 
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - L vertical elbow",$133.98 
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - L horizontal elbow, special angle",$125.36 
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - L veritcal elbow, special angle",$147.38 
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - Z horizontal offset", $-   
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - Z vertical offset", $-   
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - Tee horizontal offset",$193.27 
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - Tee vertical offset",$193.27 
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - Switchboard/panel flange end",$122.05 
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - Transformer flange end", $-   
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - Expansion Joint",$75.46 
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - End cap",$18.48 
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - End  tap box - EMPTY", $-   
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - End  tap box - with 800A MCCB, 3P, 50kA", $-   
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - End  tap box - with 800A MCCB, 4P, 50kA", $-   
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - Outlet for tap-off boxes",$15.40 
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - Flexible set",$181.72 
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - Joint",$33.88 
,,,,
1000A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1000A, 4W - Straight length, 1 meter",$113.96 
1000A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1000A, 4W - Straight length, 3 meters max.",$341.88 
1000A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1000A, 4W - L horizontal elbow",$125.05 
1000A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1000A, 4W - L vertical elbow",$147.84 
1000A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1000A, 4W - L horizontal elbow, special angle",$137.55 
1000A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1000A, 4W - L veritcal elbow, special angle",$162.62 
1000A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1000A, 4W - Z horizontal offset", $-   
1000A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1000A, 4W - Z vertical offset", $-   
1000A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1000A, 4W - Tee horizontal offset",$249.17 
1000A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1000A, 4W - Tee vertical offset",$226.38 
1000A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1000A, 4W - Switchboard/panel flange end",$139.99 
1000A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1000A, 4W - Transformer flange end", $-   
1000A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1000A, 4W - Expansion Joint",$78.54 
1000A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1000A, 4W - End cap",$20.02 
1000A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1000A, 4W - End  tap box - EMPTY", $-   
1000A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1000A, 4W - End  tap box - with 1000A MCCB, 3P, 50kA", $-   
1000A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1000A, 4W - End  tap box - with 1000A MCCB, 4P, 50kA", $-   
1000A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1000A, 4W - Outlet for tap-off boxes",$15.40 
1000A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1000A, 4W - Flexible set",$214.06 
1000A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1000A, 4W - Joint",$36.96 
,,,,
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - Straight length, 1 meter",$121.66 
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - Straight length, 3 meters max.",$364.98 
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - L horizontal elbow",$132.75 
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - L vertical elbow",$157.08 
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - L horizontal elbow, special angle",$146.02 
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - L veritcal elbow, special angle",$172.79 
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - Z horizontal offset", $-   
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - Z vertical offset", $-   
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - Tee horizontal offset",$265.34 
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - Tee vertical offset",$241.01 
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - Switchboard/panel flange end",$149.61 
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - Transformer flange end", $-   
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - Expansion Joint",$81.62 
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - End cap",$20.02 
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - End  tap box - EMPTY", $-   
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - End  tap box - with 1000A MCCB, 3P, 50kA", $-   
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - End  tap box - with 1000A MCCB, 4P, 50kA", $-   
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - Outlet for tap-off boxes",$15.40 
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - Flexible set",$238.70 
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - Joint",$40.04 
,,,,
1250A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1250A, 4W - Straight length, 1 meter",$130.90 
1250A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1250A, 4W - Straight length, 3 meters max.",$392.70 
1250A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1250A, 4W - L horizontal elbow",$140.14 
1250A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1250A, 4W - L vertical elbow",$166.32 
1250A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1250A, 4W - L horizontal elbow, special angle",$154.15 
1250A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1250A, 4W - L veritcal elbow, special angle",$182.95 
1250A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1250A, 4W - Z horizontal offset", $-   
1250A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1250A, 4W - Z vertical offset", $-   
1250A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1250A, 4W - Tee horizontal offset",$293.37 
1250A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1250A, 4W - Tee vertical offset",$267.19 
1250A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1250A, 4W - Switchboard/panel flange end",$159.01 
1250A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1250A, 4W - Transformer flange end", $-   
1250A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1250A, 4W - Expansion Joint",$86.24 
1250A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1250A, 4W - End cap",$23.10 
1250A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1250A, 4W - End  tap box - EMPTY", $-   
1250A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1250A, 4W - End  tap box - with 1250A MCCB, 3P, 50kA", $-   
1250A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1250A, 4W - End  tap box - with 1250A MCCB, 4P, 50kA", $-   
1250A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1250A, 4W - Outlet for tap-off boxes",$15.40 
1250A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1250A, 4W - Flexible set",$264.88 
1250A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1250A, 4W - Joint",$46.20 
,,,,
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - Straight length, 1 meter",$141.68 
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - Straight length, 3 meters max.",$425.04 
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - L horizontal elbow",$150.30 
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - L vertical elbow",$178.64 
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - L horizontal elbow, special angle",$165.33 
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - L veritcal elbow, special angle",$196.50 
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - Z horizontal offset", $-   
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - Z vertical offset", $-   
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - Tee horizontal offset",$316.32 
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - Tee vertical offset",$287.98 
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - Switchboard/panel flange end",$172.79 
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - Transformer flange end", $-   
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - Expansion Joint",$90.86 
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - End cap",$24.64 
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - End  tap box - EMPTY", $-   
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - End  tap box - with 1250A MCCB, 3P, 50kA", $-   
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - End  tap box - with 1250A MCCB, 4P, 50kA", $-   
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - Outlet for tap-off boxes",$15.40 
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - Flexible set",$297.22 
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - Joint",$49.28 
,,,,
1600A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1600A, 4W - Straight length, 1 meter",$161.70 
1600A,AL,"4W: 100%N, L3, L2, L1","XAP-B 1600A, 4W - Straight length, 3 meters max.",$485.10 
